iucn_sid,iucn_rgn,pop_trend,trend_score,trend_source
222,global,decreasing,-0,lm
224,global,decreasing,0.02749,lm
225,global,decreasing,0.01429,lm
228,global,decreasing,0.02105,lm
229,global,decreasing,0.01429,lm
230,global,decreasing,0.00789,lm
231,global,decreasing,0,lm
232,global,decreasing,0.01429,lm
233,global,stable,-0.02,lm
234,global,stable,-0.025,lm
235,global,decreasing,0.01429,lm
236,global,decreasing,0.01429,lm
241,global,decreasing,0.01429,lm
242,global,decreasing,0.02,lm
243,global,increasing,-0.01129,lm
244,global,decreasing,0.01429,lm
245,global,increasing,0,lm
903,global,unknown,NA,NA
904,global,stable,0,regr
906,global,unknown,NA,NA
907,global,decreasing,0.00406,regr
908,global,decreasing,0.00406,regr
1086,global,unknown,-0.01429,lm
1118,global,unknown,-0.0042,lm
1308,global,unknown,-0.03158,lm
1615,global,unknown,-0.02105,lm
1793,global,decreasing,0.00967,lm
2055,global,increasing,0,lm
2057,global,decreasing,0.01119,lm
2058,global,decreasing,0,lm
2059,global,increasing,-0.01891,lm
2060,global,increasing,0,lm
2061,global,increasing,-0.01891,lm
2062,global,stable,0,lm
2064,global,unknown,0,lm
2066,global,increasing,0,lm
2067,global,increasing,0,lm
2113,global,unknown,0,lm
2352,global,unknown,NA,NA
2467,global,increasing,-0.01985,lm
2469,global,decreasing,-0,lm
2472,global,unknown,-2.5e-4,lm
2474,global,stable,-0.01667,lm
2475,global,unknown,0.0093,lm
2476,global,unknown,NA,NA
2477,global,increasing,-0,lm
2478,global,unknown,0.00687,lm
2479,global,NA,NA,NA
2480,global,unknown,-0.00909,lm
2482,global,NA,NA,NA
2539,global,decreasing,-0.01053,lm
2621,global,unknown,NA,NA
2644,global,unknown,-0.02105,lm
2761,global,unknown,NA,NA
2762,global,unknown,NA,NA
2763,global,unknown,NA,NA
2895,global,unknown,NA,NA
3381,global,stable,-0.0105,lm
3590,global,decreasing,-0,lm
3755,global,stable,0,lm
3764,global,unknown,0.01111,lm
3778,global,unknown,NA,NA
3851,global,unknown,-0.01278,lm
3852,global,decreasing,-0.00902,lm
3853,global,decreasing,0.00376,lm
3854,global,unknown,-0.01278,lm
3855,global,unknown,-0,lm
3897,global,decreasing,-0.00427,lm
4131,global,stable,-0.02857,lm
4159,global,unknown,NA,NA
4160,global,decreasing,-0,lm
4161,global,unknown,NA,NA
4162,global,decreasing,0.00934,lm
4292,global,decreasing,-0,lm
4360,global,stable,-0.02857,lm
4361,global,stable,-0.02857,lm
4362,global,stable,-0.02857,lm
4363,global,unknown,NA,NA
4364,global,stable,-0.02857,lm
4592,global,decreasing,0.025,lm
4615,global,decreasing,-0,lm
4801,global,decreasing,-0,lm
4805,global,unknown,-0.02105,lm
4982,global,decreasing,-0,lm
4987,global,unknown,NA,NA
5272,global,unknown,-0.0125,lm
5273,global,unknown,-0.01176,lm
5325,global,unknown,-0.02105,lm
5360,global,unknown,0,lm
5362,global,NA,NA,NA
5363,global,unknown,0,lm
5375,global,unknown,NA,NA
5380,global,NA,NA,NA
5659,global,increasing,-0,lm
5660,global,decreasing,0.02,lm
5667,global,stable,-0,lm
5675,global,unknown,-0.01818,lm
6026,global,decreasing,0.01429,lm
