iucn_sid,year,cat_ts,cat_ts_score,iucn_version
10016,1994,VU,0.4,2018-1
10017,1994,VU,0.4,2018-1
10018,1994,VU,0.4,2018-1
10019,1994,VU,0.4,2018-1
10020,1994,VU,0.4,2018-1
10021,1994,VU,0.4,2018-1
10030,1996,VU,0.4,2018-1
10030,2000,NT,0.2,2018-1
10030,2009,NT,0.2,2018-1
10056,1988,VU,0.4,2018-1
10056,1990,VU,0.4,2018-1
10056,1994,VU,0.4,2018-1
10056,1996,VU,0.4,2018-1
10056,2000,EN,0.6,2018-1
10056,2012,EN,0.6,2018-1
10056,2017,EN,0.6,2018-1
10057,1996,VU,0.4,2018-1
10057,2017,LC,0,2018-1
10063,2017,LC,0,2018-1
10064,1996,VU,0.4,2018-1
10065,1996,VU,0.4,2018-1
10066,1996,VU,0.4,2018-1
10066,2003,VU,0.4,2018-1
10066,2017,VU,0.4,2018-1
10069,1996,VU,0.4,2018-1
10070,2012,VU,0.4,2018-1
10070,2017,VU,0.4,2018-1
10072,1996,VU,0.4,2018-1
10072,2003,VU,0.4,2018-1
10072,2012,VU,0.4,2018-1
10072,2017,VU,0.4,2018-1
10074,1996,VU,0.4,2018-1
10074,2017,LC,0,2018-1
10075,1996,VU,0.4,2018-1
10075,2003,VU,0.4,2018-1
10075,2014,VU,0.4,2018-1
10082,1996,VU,0.4,2018-1
10082,2017,NT,0.2,2018-1
10083,1996,VU,0.4,2018-1
10083,2010,LC,0,2018-1
10083,2017,LC,0,2018-1
10087,1996,VU,0.4,2018-1
10087,2003,VU,0.4,2018-1
10087,2015,VU,0.4,2018-1
10088,1996,VU,0.4,2018-1
10088,2017,EN,0.6,2018-1
10089,1996,VU,0.4,2018-1
10089,2017,LC,0,2018-1
10097,1996,EN,0.6,2018-1
10105,1996,VU,0.4,2018-1
10106,1996,VU,0.4,2018-1
101729662,2017,LC,0,2018-1
10268,1986,EN,0.6,2018-1
10268,1988,EN,0.6,2018-1
10268,1990,EN,0.6,2018-1
10268,1994,EN,0.6,2018-1
10268,1996,EN,0.6,2018-1
10268,2010,CR,0.8,2018-1
10269,1996,EN,0.6,2018-1
10269,2010,CR,0.8,2018-1
10273,1996,EX,1,2018-1
102998555,2016,LC,0,2018-1
10303,1986,EX,1,2018-1
10303,1988,EX,1,2018-1
10303,1990,EX,1,2018-1
10303,1994,EX,1,2018-1
10303,1996,EX,1,2018-1
10303,2008,EX,1,2018-1
10303,2016,EX,1,2018-1
103055306,2017,LC,0,2018-1
103055459,2017,LC,0,2018-1
10340,1996,LC,0,2018-1
10340,2008,LC,0,2018-1
10340,2015,LC,0,2018-1
103422139,2017,LC,0,2018-1
103670928,2016,NT,0.2,2018-1
103670944,2016,NT,0.2,2018-1
103727557,2016,LC,0,2018-1
103727557,2017,LC,0,2018-1
103727590,2016,LC,0,2018-1
103773898,2016,LC,0,2018-1
103798407,2016,LC,0,2018-1
103798407,2017,LC,0,2018-1
103798418,2016,VU,0.4,2018-1
103817982,2016,LC,0,2018-1
103818044,2016,LC,0,2018-1
104006414,2016,LC,0,2018-1
104006526,2016,LC,0,2018-1
104006526,2017,LC,0,2018-1
104007058,2016,LC,0,2018-1
104007058,2017,LC,0,2018-1
104023514,2017,EN,0.6,2018-1
104062546,2016,LC,0,2018-1
104062579,2016,EN,0.6,2018-1
104176764,2017,NT,0.2,2018-1
10707,1986,VU,0.4,2018-1
10707,1988,VU,0.4,2018-1
10707,1990,VU,0.4,2018-1
10707,1996,VU,0.4,2018-1
10708,1996,VU,0.4,2018-1
10708,2008,LC,0,2018-1
10724,1996,VU,0.4,2018-1
10724,2015,LC,0,2018-1
107259870,2017,VU,0.4,2018-1
107261198,2017,LC,0,2018-1
107261486,2017,LC,0,2018-1
107604828,2017,LC,0,2018-1
107604987,2017,CR,0.8,2018-1
1086,1986,EN,0.6,2018-1
1086,1988,EN,0.6,2018-1
1086,1990,EN,0.6,2018-1
1086,1994,EN,0.6,2018-1
1086,1996,VU,0.4,2018-1
1086,2004,VU,0.4,2018-1
10939,1996,VU,0.4,2018-1
11030,1996,LC,0,2018-1
11030,2008,LC,0,2018-1
11030,2011,LC,0,2018-1
11047,1996,LC,0,2018-1
11048,1996,LC,0,2018-1
11060,1996,LC,0,2018-1
11060,2012,LC,0,2018-1
11130,1996,VU,0.4,2018-1
11130,2010,VU,0.4,2018-1
11140,2008,LC,0,2018-1
11140,2012,LC,0,2018-1
11141,1996,LC,0,2018-1
11141,2008,LC,0,2018-1
11142,1996,LC,0,2018-1
11142,2008,LC,0,2018-1
11142,2012,LC,0,2018-1
11144,1996,LC,0,2018-1
11144,2008,LC,0,2018-1
11145,1996,LC,0,2018-1
11145,2008,LC,0,2018-1
11145,2012,LC,0,2018-1
11200,1996,VU,0.4,2018-1
11200,2000,NT,0.2,2018-1
11200,2006,VU,0.4,2018-1
112664138,2017,LC,0,2018-1
11368,1996,NT,0.2,2018-1
